pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
Kepler-254 c,Transit,2454975.53938,0.00389,0.00389,12.412183,8.2e-05,8.2e-05,3.362,0.122,0.122,,,,89.95,,,0.05,0.23,0.23,2.15,1.03,1.03,27.59,2.3,2.3,0.91,0.43,0.43,0.0,,,0.93,0.04,0.05,0.02358,0.00091,0.00046
Kepler-254 d,Transit,2454980.12909,0.00384,0.00384,18.746477,0.000121,0.000121,3.961,0.133,0.133,,,,89.11,,,0.15,0.23,0.23,2.5,1.19,1.19,20.1,7.8,7.8,0.91,0.43,0.43,0.0,,,0.93,0.04,0.05,0.02695,0.00044,0.00119
Kepler-255 b,Transit,2454965.64035,0.006,0.006,5.714606,5.2e-05,5.2e-05,2.238,0.158,0.158,,,,88.25,,,0.01,0.23,0.23,1.55,0.62,0.62,9.3,2.9,2.9,0.93,0.37,0.37,0.0,,,0.87,0.06,0.03,0.01605,0.00037,0.00109
Kepler-255 c,Transit,2455004.70016,0.0021,0.0021,9.946047,3.5e-05,3.5e-05,3.38,0.066,0.066,,,,89.91,,,0.33,0.22,0.22,2.99,1.18,1.18,23.07,1.3,1.3,0.93,0.37,0.37,0.0,,,0.87,0.06,0.03,0.02823,0.00094,0.00039
Kepler-255 d,Transit,2454966.91821,0.00216,0.00216,1.04562266,2.67e-06,2.67e-06,1.8269,0.0655,0.0655,,,,89.51,,,0.77,0.18,0.18,1.32,0.14,0.1,4.307,0.156,0.156,0.86,0.07,0.06,0.0,,,0.9,0.04,0.05,0.01409,0.00056,0.00038
Kepler-256 b,Transit,2454965.06776,0.00339,0.00339,1.620493,9e-06,9e-06,2.241,0.118,0.118,,,,87.2,,,0.07,0.23,0.23,1.59,0.39,0.39,5.55,1.5,1.5,1.3,0.32,0.32,0.0,,,0.97,0.05,0.04,0.01149,0.00049,0.00044
Kepler-256 c,Transit,2455003.53221,0.00252,0.00252,3.38802,1.6e-05,1.6e-05,2.628,0.085,0.085,,,,87.2,,,0.16,0.23,0.23,2.15,0.53,0.53,8.2,2.6,2.6,1.3,0.32,0.32,0.0,,,0.97,0.05,0.04,0.01545,0.00026,0.00063
Kepler-256 d,Transit,2454965.08845,0.00318,0.00318,5.839172,3.1e-05,3.1e-05,3.134,0.104,0.104,,,,88.54,,,0.84,0.3,0.3,2.48,0.63,0.63,14.05,2.3,2.3,1.3,0.32,0.32,0.0,,,0.97,0.05,0.04,0.01565,0.00059,0.00034
Kepler-256 e,Transit,2454964.55493,0.00381,0.00381,10.681572,6.6e-05,6.6e-05,3.542,0.11,0.11,,,,87.92,,,0.04,0.22,0.22,2.35,0.58,0.58,22.46,5.0,5.0,1.3,0.32,0.32,0.0,,,0.97,0.05,0.04,0.01711,0.00063,0.00044
Kepler-257 b,Transit,2455003.6633,0.00125,0.00125,2.382667,6e-06,6e-06,1.812,0.044,0.044,,,,84.74,,,0.09,0.22,0.22,2.61,1.31,1.31,9.69,1.1,1.1,1.04,0.52,0.52,0.0,,,0.85,0.04,0.04,0.02516,0.00092,0.00042
